case,block_enabled,block_labels,chunk_size,rel_error,total_time_sec,contract_time_sec,emit_time_sec,t_contract_ratio,speedup_vs_exact,cache_hit_rate,num_cached_states,peak_rank,num_implicit_merge_sketches,status
Grid 3x3,false,,,0.01063955577435304,0.21426783333360314,0.21423250000013164,3.533333347149892e-05,0.9998351138325045,39.23020290595647,0.0,17.0,222.0,4.0,ok
Grid 3x3,true,1,1,2.0599782521120738e-13,0.19188583333410256,0.19182673333367953,5.910000042301059e-05,0.9996904955275329,74.6919746551467,0.3137254901960784,35.0,81.0,9.0,ok
Grid 3x3,true,1,2,0.00785925817445586,0.1819939333330088,0.1819338333328536,6.010000015521655e-05,0.9996738088005634,64.69929167871774,0.23529411764705882,26.0,159.66666666666666,6.0,ok
Grid 3x3,true,2,1,0.004077588633579595,0.5355505333333591,0.5353621333330617,0.00018840000029740622,0.999617090981615,69.68433960566273,0.4397163120567376,79.0,64.0,13.666666666666666,ok
Grid 3x3,true,2,2,0.0038159722074353262,0.5442200999999235,0.5440985333334538,0.00012156666646963761,0.9997744591285751,64.78139482362322,0.359375,41.0,107.66666666666667,8.0,ok
Grid 3x3,true,3,1,0.005588014897496639,0.8295618666676697,0.8292808000002575,0.0002810666674122331,0.9996880644990933,86.31555776146101,0.4943820224719101,135.0,64.0,0.3333333333333333,ok
Grid 3x3,true,3,2,0.004364509063343675,0.32779676666753704,0.3276725000008203,0.00012426666671672137,0.9996162128924833,68.06918035614913,0.41304347826086957,54.0,107.66666666666667,6.0,ok
Ring-8,false,,,6.011141745544232e-15,0.04786119999941244,0.04784203333353313,1.916666587931104e-05,0.9996014267102177,14.912383267260312,0.0,15.0,16.0,0.0,ok
Ring-8,true,1,1,0.0017966745943425407,0.06850080000125065,0.06847649999933007,2.4300001920588937e-05,0.9996452717460905,16.257868629789105,0.3111111111111111,31.0,16.0,0.0,ok
Ring-8,true,1,2,0.007899902459021094,0.061301233335446646,0.06127846666762101,2.2766667825635523e-05,0.9996267223452286,17.447659578602718,0.23333333333333334,23.0,16.0,0.0,ok
Ring-8,true,2,1,0.0018268661464925257,0.12427643333285232,0.1242322666682109,4.416666464142812e-05,0.999644285881695,20.59051890455189,0.4444444444444444,75.0,16.0,0.0,ok
Ring-8,true,2,2,0.0038349562413610007,0.08062630000131321,0.08059316666791953,3.313333339368304e-05,0.9995889974366348,18.491261972653664,0.36666666666666664,38.0,16.0,0.0,ok
Ring-8,true,3,1,0.0028846245813702685,0.16575826665575732,0.16564443333239373,0.00011383332336360279,0.9993133158506139,37.667712602237536,0.4984984984984985,167.0,16.0,0.0,ok
Ring-8,true,3,2,0.0037390889883426315,0.1147521999955643,0.11470393332880728,4.826666675702048e-05,0.9995790121870627,20.447516253070678,0.4326923076923077,59.0,16.0,0.0,ok
summary,,,,0.0041662151258433,0.24916809285648578,0.24908413095229098,8.39619041947853e-05,0.9996353055585651,36.04014021172184,0.32444877016992973,56.785714285714285,65.57142857142857,3.357142857142857,summary
