case,sweep_id,leaf_tol,merge_tol,rel_error,total_time_sec,speedup_vs_exact,contract_time_sec,emit_time_sec,t_contract_ratio,peak_rank,num_implicit_merge_sketches,cache_hit_rate,status
Grid 3x3,s1,0.0002,0.0008,1.6375460808924054e-14,0.22226166666587233,98.87910960957772,0.22214576666586558,0.00011590000000675597,0.9994783158379369,64.0,18.0,0.4397163120567376,ok
Grid 3x3,s2,0.0005,0.002,1.2467806475588296e-13,0.2218129333335431,99.29427151920314,0.22168819999994108,0.00012473333360200437,0.999437280313033,64.0,18.0,0.4397163120567376,ok
Grid 3x3,s3,0.001,0.005,0.004077588633579595,0.24292913333404917,79.44010964895264,0.24284293333372867,8.620000032048362e-05,0.9996439200414592,64.0,13.666666666666666,0.4397163120567376,ok
Grid 3x3,s4,0.002,0.01,0.010458930149267166,0.32852493333393795,67.21157059295913,0.3284015000008367,0.0001234333331012749,0.9996242858402478,64.0,9.0,0.4397163120567376,ok
Grid 3x3,s5,0.003,0.015,0.01805069027169671,0.3495582333337855,63.77688180421675,0.3494467000003472,0.00011153333343827398,0.9996825764148282,64.0,8.0,0.4397163120567376,ok
Grid 3x3,s6,0.005,0.025,0.03596296100487213,0.3840020666660469,61.44941749518685,0.38387120000000624,0.00013086666604067432,0.999631398029844,63.666666666666664,5.666666666666667,0.4397163120567376,ok
Ring-8,s1,0.0002,0.0008,4.455283938511533e-15,0.10552880000735361,17.33763366749786,0.10548926667373355,3.953333362005651e-05,0.9996253746619322,16.0,0.0,0.4444444444444444,ok
Ring-8,s2,0.0005,0.002,4.455283938511533e-15,0.10340570000577524,17.63558603388906,0.10336703333935778,3.866666641746027e-05,0.9996260496901513,16.0,0.0,0.4444444444444444,ok
Ring-8,s3,0.001,0.005,0.0018268661464925257,0.10690790000080597,16.999812600537425,0.10686626666696004,4.1633333845917754e-05,0.9996098061485206,16.0,0.0,0.4444444444444444,ok
Ring-8,s4,0.002,0.01,0.007149025012227889,0.12084000000807767,18.385026627562294,0.12078570000327697,5.4300004800703995e-05,0.999555868223321,16.0,0.0,0.4444444444444444,ok
Ring-8,s5,0.003,0.015,0.015534093928304018,0.13736716666850649,15.874793250913978,0.13731446666376237,5.270000474411063e-05,0.9996136544106986,16.0,0.0,0.4444444444444444,ok
Ring-8,s6,0.005,0.025,0.0412494997903031,0.10866063333257141,18.063859888782478,0.10861829999945864,4.2333333112765104e-05,0.9996103412055787,16.0,0.0,0.4444444444444444,ok
summary,summary,,,0.011192471244741093,0.2026499305575271,36.52091936528971,0.20256977777893956,8.015277858754012e-05,0.9995949059014626,39.97222222222222,6.027777777777778,0.442080378250591,summary
