family,case,size_token,exact_time_sec,fixed_rank_rel_error,fixed_rank_speedup,astnc_rel_error,astnc_speedup,astnc_contract_time_sec,astnc_emit_time_sec,astnc_t_contract_ratio,status
ring,Ring-6,6,0.028217233331815805,0.6139560360403928,2.088242186181114,2.697592376755655e-15,1.6631113011709733,0.016944233335379977,2.230000003085782e-05,0.9986887378293198,ok
ring,Ring-8,8,2.585498666672114,0.8057554395559248,87.94980968316989,0.0018268661464925257,15.902625405287797,0.16252909999942253,5.4033337316165366e-05,0.9996462590063124,ok
ring,Ring-10,10,,,,,,,,,infeasible
ring,Ring-12,12,,,,,,,,,infeasible
tree,Tree-6,6,0.014744600002207639,0.21388271771770304,1.5799873553341122,2.1513475088407742e-15,1.2596731343449215,0.011688099997021103,1.700000090446944e-05,0.9985241840752839,ok
tree,Tree-8,8,0.9597133000012642,0.6524278703147116,55.63770387088008,0.00481019892737043,41.25841213722772,0.02323170000211879,2.9333331137119483e-05,0.9986538416539947,ok
tree,Tree-10,10,,,,,,,,,infeasible
tree,Tree-12,12,,,,,,,,,failed
random_connected,Random-6,6,0.02237756666969896,0.5158773015640219,1.4335037327125173,0.0003149273766615123,1.2858010227110768,0.01738169999589445,2.1899996985060472e-05,0.9987148665856022,ok
random_connected,Random-8,8,0.7204837666722597,0.9283189703797118,32.714861950331915,2.0899580168572265e-14,8.676053392147322,0.08300813333820163,3.4666666275976844e-05,0.9994673898357438,ok
random_connected,Random-10,10,415.65800565000427,0.9947743111407762,2836.7622403202877,0.006482834312358596,435.1623293818842,0.9548957999995764,0.00028340000244497787,0.9996769909522432,infeasible
grid2d,Grid 2x3,2x3,0.01712363333202423,0.653124398193695,1.3127426051493314,2.663666683112313e-15,0.6116056599256444,0.027968966666776396,2.8866666070825886e-05,0.9988029266093911,ok
grid2d,Grid 3x3,3x3,22.121381166666954,0.9789127199918946,607.8376810274476,0.004077588633579595,52.72554713439158,0.41941000000012235,0.00014716666676880172,0.9996115022106801,ok
grid2d,Grid 3x4,3x4,,,,,,,,,infeasible
summary,summary,all,,0.7063366405443147,22.87337725532332,0.0019458239329434525,8.43075967673049,0.19078419259272375,7.09629631038061e-05,0.9990874109731746,summary
